raceId,driverId,constructorId,grid,positionOrder,unified_main_points,res_fLapTime_ms,year,round,circuitId,dob,q_rel_gap,qual_pos,sprint_target,spr_ms,spr_fLapTime_ms,spr_points_unified,pit_count,pit_total_ms,driver_encoded
1125,840,0.5420560747663552,0.55,15,0,99444.0,2024,5,0.1142857142857143,0.29166666666666663,0.13900639259944578,0.5263157894736843,14.0,1964959.0,102258.0,0.0,0.8,174785.0,758
1126,840,0.5420560747663552,0.55,17,0,91588.0,2024,6,1.0,0.29166666666666663,0.12380275785878687,0.5263157894736843,19.0,0.0,0.0,0.0,0.4,45669.0,758
1131,840,0.5420560747663552,0.8500000000000001,13,0,70143.0,2024,11,0.8714285714285714,0.29166666666666663,0.18952363296618546,0.8421052631578947,10.0,1631564.0,70260.0,0.0,0.4,42701.0,758
1139,840,0.5420560747663552,0.65,15,0,99214.0,2024,19,0.8571428571428571,0.29166666666666663,0.2359799254378747,0.6842105263157894,13.0,1907382.0,99532.0,0.0,0.2,26399.0,758
1141,840,0.5420560747663552,0.5,19,0,0.0,2024,21,0.12857142857142856,0.29166666666666663,0.5171895814202369,0.47368421052631576,19.0,1844028.0,73560.0,0.0,0.0,0.0,758
1143,840,0.5420560747663552,0.75,18,0,90935.0,2024,23,0.9857142857142858,0.29166666666666663,0.2108487736166628,0.736842105263158,13.0,1647431.0,85369.0,0.0,0.4,71457.0,758
1061,841,0.23364485981308408,0.75,13,0,92346.0,2021,10,0.0,0.3749999999999999,0.2164330459977221,0.6842105263157894,15.0,1591651.0,92457.0,0.0,0.4,2098387.0,311
1065,841,0.23364485981308408,0.35000000000000003,13,0,85718.0,2021,14,0.07142857142857142,0.3749999999999999,0.1806365213672895,0.47368421052631576,8.0,1705167.0,85126.0,1.0,0.4,67741.0,311
1071,841,0.23364485981308408,0.65,14,0,74227.0,2021,19,0.12857142857142856,0.3749999999999999,0.19710952313670205,0.736842105263158,13.0,1791439.0,73627.0,0.0,0.8,82090.0,311
1061,842,0.9906542056074766,0.55,11,0,90266.0,2021,10,0.0,0.2499999999999999,0.2177152322891778,0.5789473684210527,12.0,1587189.0,92072.0,0.0,0.6000000000000001,2124109.0,292
1065,842,0.9906542056074766,0.0,19,0,89005.0,2021,14,0.07142857142857142,0.2499999999999999,0.24775376095788793,0.2631578947368421,20.0,0.0,0.0,0.0,0.0,0.0,292
1071,842,0.9906542056074766,0.35000000000000003,7,6,73227.0,2021,19,0.12857142857142856,0.2499999999999999,0.19872782792435967,0.21052631578947367,8.0,1783717.0,73342.0,1.0,0.8,84202.0,292
1077,842,0.9906542056074766,0.8500000000000001,12,0,81713.0,2022,4,0.17142857142857143,0.29166666666666663,0.546583850931677,0.8421052631578947,17.0,1883361.0,80599.0,0.0,0.2,30405.0,292
1084,842,0.9906542056074766,0.7000000000000001,15,0,70104.0,2022,11,0.8714285714285714,0.29166666666666663,0.39786668483158066,0.47368421052631576,15.0,1642184.0,70409.0,0.0,0.4,50334.0,292
1095,842,0.9906542056074766,0.5,14,0,75327.0,2022,21,0.12857142857142856,0.29166666666666663,0.3849400674558664,0.5789473684210527,10.0,1845477.0,75290.0,0.0,0.6000000000000001,69797.0,292
1101,842,0.9953271028037383,0.8500000000000001,14,0,105540.0,2023,4,0.9142857142857144,0.33333333333333337,0.7873124047926671,0.9473684210526316,13.0,2034585.0,105883.0,0.0,0.4,41404.0,292
